Glove Case
Fracture Case
Dreams & Nightmares Case
Recoil Case
Revolution Case
Kilowatt Case
Fever Case
Sealed Genesis Terminal
Spectrum 2 Case
Danger Zone Case
AK-47 | Slate (Battle-Scarred)
StatTrak™ AUG | Amber Slipstream (Minimal Wear)
StatTrak™ M4A1-S | Leaded Glass (Minimal Wear)
★ Specialist Gloves | Crimson Web (Field-Tested)
London 2018 Inferno Souvenir Package
Sticker | Aerial | Katowice 2019
Sticker | Xizt | London 2018
Sticker | bodyy | Boston 2018
Sealed Graffiti | North | London 2018
Sticker | MICHU | London 2018
Sealed Graffiti | Team Liquid | London 2018
Sticker | Fnatic | London 2018
Sticker | FaZe Clan (Holo) | Katowice 2019
Sticker | Pixiu (Foil)
AK-47 | The Empress (Battle-Scarred)
Souvenir Charm | Austin 2025 Highlight | AWP Denied
Souvenir Charm | Budapest 2025 Highlight | makazze vs FaZe on Inferno
P250 | Muertos (Factory New)
Souvenir Charm | Austin 2025 Highlight | Clutch Win
Sticker | Graviti (Holo) | Budapest 2025
Sticker | FaZe Clan (Gold) | Budapest 2025
Souvenir Charm | Austin 2025 Highlight | Ticket Takedown
Sticker | Rare Atom (Gold) | Budapest 2025
Souvenir Charm | Budapest 2025 Highlight | b1t B-site stand
Charm | 8 Ball IGL
Souvenir Charm | Austin 2025 Highlight | AWP Defender
Souvenir Charm | Austin 2025 Highlight | Burning Triple Kill
Souvenir Charm | Austin 2025 Highlight | Kill Streak
Sticker | EmiliaQAQ (Embroidered) | Budapest 2025
Sticker | FL1T (Holo) | Shanghai 2024
Souvenir Charm | Budapest 2025 Highlight | makazze vs FaZe on Ancient
Sticker | FlameZ (Gold) | Budapest 2025
Sticker | fnatic (Gold) | Budapest 2025
Souvenir Charm | Austin 2025 Highlight | B Site Survivor
Tec-9 | Rust Leaf (Minimal Wear)
P90 | Blind Spot (Minimal Wear)
StatTrak™ MP5-SD | Acid Wash (Well-Worn)
StatTrak™ Dual Berettas | Balance (Well-Worn)
Dual Berettas | Marina (Minimal Wear)
Huntsman Case Key
Sticker | Massive Pear
Sticker | apEX | Krakow 2017
Sticker | Counter Logic Gaming | MLG Columbus 2016
Sticker | suNny | Krakow 2017
Sticker | nitr0 (Holo) | Austin 2025
Sticker | mlhzin (Holo) | Austin 2025
Sticker | BetBoom (Gold) | Austin 2025
Souvenir Charm | Austin 2025 Highlight | xertioN Double Kill
Souvenir Charm | Austin 2025 Highlight | Smoke Shots
Souvenir Charm | Austin 2025 Highlight | Smokey Entry
Souvenir Charm | Austin 2025 Highlight | chopper Triple Entry
Sticker | tN1R (Holo) | Austin 2025
Souvenir Charm | Budapest 2025 Highlight | makazze Mid wide swing
Sticker | ultimate (Holo) | Budapest 2025
SG 553 | Tiger Moth (Factory New)
M4A4 | Hellfire (Field-Tested)
Sticker | fer | Krakow 2017
Sticker | Virtus.Pro | Cologne 2014
Sticker | somebody | London 2018
Sticker | Team EnVyUs | Boston 2018
Sticker | New Sheriff (Foil)
Sticker | HellRaisers | Cologne 2014
Sticker | MTS GameGod Wolf | Cologne 2014
Sticker | Cloud9 | MLG Columbus 2016
Sticker | Renegades (Gold) | Stockholm 2021
Sealed Graffiti | Fart (Monster Purple)
Sealed Graffiti | Kiss (Frog Green)
Sealed Graffiti | Chef Kiss (Blood Red)
Sticker | Bad News Eagles (Gold) | Antwerp 2022
Sticker | Snappi (Holo) | Antwerp 2022
Sticker | Team Liquid (Gold) | Antwerp 2022
Music Kit | Freaky DNA, Vici
Sticker | FaZe (Gold) | 2020 RMR
Sticker | Poorly Drawn Terrorist (Holo)
Sticker | broky (Gold) | Paris 2023
Sticker | Wicadia (Holo) | Copenhagen 2024
Sticker | F1KU (Gold) | Paris 2023
Sticker | karrigan | Cologne 2015
Sticker | drop (Gold) | Paris 2023
Sticker | Goofy (Gold) | Paris 2023
Sticker | Perfecto (Gold) | Paris 2023
Sticker | nicoodoz (Gold) | Paris 2023
Sticker | s1mple (Holo) | Paris 2023
Sticker | arrozdoce (Holo) | Copenhagen 2024
Charm | Quick Silver
Souvenir Charm | Austin 2025 Highlight | Quad Kill And A Clutch
Sticker | r1nkle (Holo) | Budapest 2025
Souvenir Charm | Austin 2025 Highlight | flameZ: The Entry Demon
Souvenir Charm | Austin 2025 Highlight | Time Loss
Souvenir Charm | Austin 2025 Highlight | Striking Shots
Sticker | Lynn Vision (Gold) | Austin 2025
Souvenir Charm | Austin 2025 Highlight | torzsi Triple Kill
Souvenir Charm | Austin 2025 Highlight | Double Down
Sticker | JT (Embroidered) | Budapest 2025
StatTrak™ XM1014 | Scumbria (Well-Worn)
StatTrak™ SG 553 | Phantom (Well-Worn)
MAG-7 | Hard Water (Factory New)
StatTrak™ Tec-9 | Snek-9 (Minimal Wear)
Souvenir M4A4 | Red DDPAT (Factory New)
FAMAS | Faulty Wiring (Minimal Wear)
Souvenir MAC-10 | Case Hardened (Well-Worn)
G3SG1 | Digital Mesh (Well-Worn)
P250 | Bengal Tiger (Field-Tested)
Souvenir Galil AR | Dusk Ruins (Field-Tested)
StatTrak™ P90 | Off World (Well-Worn)
Glock-18 | Brass (Field-Tested)
AUG | Wings (Minimal Wear)
StatTrak™ XM1014 | Slipstream (Battle-Scarred)
Tec-9 | Safety Net (Well-Worn)
StatTrak™ P250 | Ripple (Battle-Scarred)
StatTrak™ Nova | Ghost Camo (Minimal Wear)
FAMAS | Faulty Wiring (Well-Worn)
AWP | BOOM (Field-Tested)
AK-47 | Predator (Well-Worn)
Sticker | Dark Water Surf Ava (Foil)
Sticker | buster (Holo) | Antwerp 2022
Sticker | Opal Flick (Holo)
Sticker | fnx (Gold) | Antwerp 2022
Sticker | nicoodoz (Gold) | Antwerp 2022
Sticker | arT (Glitter) | Rio 2022
Patch | MOUZ | Stockholm 2021
Sticker | Bullet Hell (Foil)
Sticker | Poorly Drawn Ava (Holo)
Sticker | Skin Lover (Lenticular)
Souvenir Sawed-Off | Irradiated Alert (Battle-Scarred)
Sticker | rain | Cologne 2015
Sticker | donk (Gold) | Shanghai 2024
Sticker | BIG (Holo) | Shanghai 2024
Sticker | mir (Gold) | Copenhagen 2024
Sticker | L1haNg (Glitter) | Shanghai 2024
Sticker | flusha | MLG Columbus 2016
Sticker | dennis | MLG Columbus 2016
Sticker | floppy (Holo) | Shanghai 2024
Sticker | sh1ro (Gold, Champion) | Shanghai 2024
London 2018 Nuke Souvenir Package
Sticker | v4lde (Foil) | Berlin 2019
Sealed Graffiti | Broken Heart (Blood Red)
Sealed Graffiti | 200 IQ (War Pig Pink)
Sealed Graffiti | Rly (Monarch Blue)
Sticker | shox | Boston 2018
Sticker | t0rick (Foil) | Berlin 2019
Sealed Graffiti | Dizzy (Wire Blue)
Sticker | kennyS | London 2018
Sealed Graffiti | Thoughtfull (Brick Red)
StatTrak™ MAC-10 | Allure (Factory New)
StatTrak™ Tec-9 | Avalanche (Field-Tested)
StatTrak™ G3SG1 | Ventilator (Minimal Wear)
StatTrak™ P250 | Iron Clad (Well-Worn)
StatTrak™ Tec-9 | Snek-9 (Field-Tested)
StatTrak™ M4A1-S | Decimator (Field-Tested)
AUG | Amber Slipstream (Well-Worn)
★ Huntsman Knife | Autotronic (Field-Tested)
PP-Bizon | Harvester (Factory New)
StatTrak™ Dual Berettas | Urban Shock (Factory New)
SSG 08 | Prey (Well-Worn)
Sticker | Spirit (Gold) | 2020 RMR
Sealed Graffiti | Little Crown (Tracer Yellow)
Sticker | Poorly Drawn IDF (Holo)
Sealed Graffiti | Goofy (Frog Green)
Sealed Graffiti | Question Mark (Violent Violet)
Sticker | Lore Poison Frog (Foil)
Patch | Metal Legendary Eagle Master ★
Sealed Graffiti | OMG (Wire Blue)
Sticker | Last Vance (Gold)
Souvenir XM1014 | Bone Machine (Field-Tested)
Sticker | FalleN (Holo) | Shanghai 2024
Sticker | vexite (Holo) | Austin 2025
Sticker | TeSeS (Gold) | Shanghai 2024
Sticker | n0rb3r7 (Holo) | Shanghai 2024
Sticker | broky (Gold) | Shanghai 2024
Sticker | Techno4K (Gold) | Austin 2025
Sticker | paiN Gaming (Gold) | Shanghai 2024
Sticker | sjuush (Gold) | Shanghai 2024
Sticker | MATYS (Holo) | Shanghai 2024
SSG 08 | Rapid Transit (Well-Worn)
R8 Revolver | Llama Cannon (Battle-Scarred)
StatTrak™ XM1014 | Oxide Blaze (Well-Worn)
Souvenir Sawed-Off | Sage Spray (Factory New)
StatTrak™ Five-SeveN | Capillary (Battle-Scarred)
Souvenir MAC-10 | Indigo (Well-Worn)
Souvenir MAC-10 | Candy Apple (Minimal Wear)
StatTrak™ P90 | Asiimov (Field-Tested)
StatTrak™ M4A1-S | Atomic Alloy (Field-Tested)
Sawed-Off | Bamboo Shadow (Minimal Wear)
★ Broken Fang Gloves | Unhinged (Battle-Scarred)
StatTrak™ Tec-9 | Flash Out (Minimal Wear)
XM1014 | Watchdog (Factory New)
Glock-18 | Ramese's Reach (Factory New)
★ Hand Wraps | Constrictor (Field-Tested)
M4A1-S | Briefing (Factory New)
★ Survival Knife | Safari Mesh (Field-Tested)
Souvenir Charm | Budapest 2025 Highlight | ropz vs FaZe on Nuke
Souvenir Charm | Budapest 2025 Highlight | mezii opening chaos
Souvenir Charm | Budapest 2025 Highlight | karrigan vs Vitality on Inferno
Sticker | b4rtiN (Gold) | Copenhagen 2024
Sticker | pyth | MLG Columbus 2016
Sticker | Keoz (Holo) | Copenhagen 2024
Sticker | shox | Cluj-Napoca 2015
Sticker | NBK- | Cologne 2015
Sticker | Aleksib (Gold, Champion) | Copenhagen 2024
Sticker | jL (Gold, Champion) | Copenhagen 2024
Sticker | ChildKing (Holo) | Shanghai 2024
Sticker | chrisJ | Cologne 2015
Sticker | kyxsan (Holo) | Copenhagen 2024
Desert Eagle | Code Red (Battle-Scarred)
Souvenir AUG | Carved Jade (Minimal Wear)
USP-S | Blueprint (Factory New)
StatTrak™ Desert Eagle | Light Rail (Well-Worn)
Souvenir Glock-18 | Pink DDPAT (Battle-Scarred)
StatTrak™ UMP-45 | Scaffold (Well-Worn)
★ Driver Gloves | Racing Green (Minimal Wear)
★ Navaja Knife | Urban Masked (Field-Tested)
Five-SeveN | Retrobution (Well-Worn)
StatTrak™ G3SG1 | High Seas (Minimal Wear)
Sticker | IEM (Foil) | Katowice 2019
Sticker | Stewie2K | Krakow 2017
Sealed Graffiti | Fnatic | Boston 2018
Sticker | bondik | Boston 2018
Sticker | Cloud9 (Foil) | Katowice 2019
Sticker | FaZe Clan | London 2018
Sealed Graffiti | FaZe Clan | London 2018
Sticker | Boombl4 | Katowice 2019
Sealed Graffiti | Vega Squadron | Krakow 2017
Sticker | Cloud9 (Holo) | Katowice 2019
StatTrak™ PP-Bizon | Antique (Factory New)
Dual Berettas | Marina (Field-Tested)
Sticker | Ninjas in Pyjamas (Holo) | Cologne 2016
Sticker | bodyy | Krakow 2017
Sticker | Counter Logic Gaming | Cologne 2016
StatTrak™ Sawed-Off | Zander (Minimal Wear)
Sealed Graffiti | GODSENT | Atlanta 2017
Autograph Capsule | Team Liquid | Cluj-Napoca 2015
Sticker | FaZe Clan | Atlanta 2017
Sticker | Team Kinguin (Foil) | Cologne 2015
Sticker | flusha | Cologne 2015
Sticker | pashaBiceps | Cologne 2015
Sticker | yuurih (Holo) | Shanghai 2024
Sticker | ztr (Gold) | Shanghai 2024
Sticker | Hobbit (Holo) | Copenhagen 2024
Sticker | FalleN | MLG Columbus 2016
Sticker | fame (Holo) | Shanghai 2024
Sticker | fnx | MLG Columbus 2016
Masterminds 2 Music Kit Box
Sticker | DEVIL | MLG Columbus 2016
SCAR-20 | Powercore (Factory New)
Souvenir Zeus x27 | Dragon Snore (Field-Tested)
AUG | Syd Mead (Well-Worn)
StatTrak™ AUG | Arctic Wolf (Factory New)
P90 | Asiimov (Factory New)
SG 553 | Colony IV (Well-Worn)
Souvenir Dual Berettas | Sweet Little Angels (Battle-Scarred)
StatTrak™ Galil AR | Stone Cold (Minimal Wear)
StatTrak™ Tec-9 | Re-Entry (Factory New)
SSG 08 | Big Iron (Factory New)
Katowice 2019 Dust II Souvenir Package
Sticker | FaZe Clan (Foil) | Katowice 2019
Sticker | Rogue (Holo) | London 2018
Sticker | device | Katowice 2019
Sealed Graffiti | Oops (Monster Purple)
Sticker | rain (Foil) | Katowice 2019
Sticker | Fnatic (Holo) | London 2018
Sealed Graffiti | Little Crown (Monster Purple)
Sticker | BIG | Katowice 2019
Sticker | Vega Squadron (Holo) | Katowice 2019
M4A4 | The Battlestar (Battle-Scarred)
P2000 | Obsidian (Battle-Scarred)
StatTrak™ Five-SeveN | Retrobution (Well-Worn)
★ Shadow Daggers | Scorched (Field-Tested)
M249 | Spectre (Battle-Scarred)
StatTrak™ XM1014 | Ziggy (Factory New)
StatTrak™ P250 | Steel Disruption (Field-Tested)
Souvenir P250 | Gunsmoke (Minimal Wear)
StatTrak™ Five-SeveN | Scumbria (Factory New)
SSG 08 | Dark Water (Field-Tested)
Sawed-Off | Devourer (Minimal Wear)
Glock-18 | AXIA (Well-Worn)
Nova | Sobek's Bite (Factory New)
StatTrak™ AK-47 | Neon Revolution (Field-Tested)
StatTrak™ M4A4 | Desolate Space (Field-Tested)
AK-47 | Neon Rider (Battle-Scarred)
★ Hand Wraps | Cobalt Skulls (Field-Tested)
MAC-10 | Curse (Minimal Wear)
Souvenir Zeus x27 | Charged Up (Field-Tested)
M4A1-S | Stratosphere (Well-Worn)
AUG | Random Access (Well-Worn)
StatTrak™ MP7 | Ocean Foam (Factory New)
StatTrak™ M4A1-S | Guardian (Field-Tested)
StatTrak™ MAC-10 | Tatter (Factory New)
MAC-10 | Nuclear Garden (Minimal Wear)
Souvenir USP-S | Check Engine (Well-Worn)
M249 | Humidor (Factory New)
SCAR-20 | Magna Carta (Factory New)
UMP-45 | Metal Flowers (Minimal Wear)
★ Kukri Knife | Forest DDPAT (Battle-Scarred)
Sticker | Splyce (Holo) | MLG Columbus 2016
Krakow 2017 Mirage Souvenir Package
Autograph Capsule | Natus Vincere | MLG Columbus 2016
Sticker | Renegades (Foil) | Cologne 2015
Sticker | Hobbit | Boston 2018
Sticker | nex | Krakow 2017
Sealed Graffiti | Fnatic | Atlanta 2017
Sticker | Team Liquid (Holo) | MLG Columbus 2016
Sticker | Natus Vincere (Foil) | Cluj-Napoca 2015
Sticker | Virtus.Pro (Holo) | Cologne 2016
P90 | Desert Warfare (Factory New)
Dual Berettas | Moon in Libra (Well-Worn)
StatTrak™ Galil AR | Signal (Battle-Scarred)
StatTrak™ Negev | Loudmouth (Battle-Scarred)
StatTrak™ XM1014 | Watchdog (Minimal Wear)
Souvenir M4A4 | Tornado (Minimal Wear)
CZ75-Auto | Twist (Factory New)
Nova | Antique (Minimal Wear)
Dual Berettas | Dezastre (Well-Worn)
CZ75-Auto | Victoria (Field-Tested)
SSG 08 | Mayan Dreams (Battle-Scarred)
P250 | Gunsmoke (Field-Tested)
SCAR-20 | Palm (Minimal Wear)
★ Bayonet
M4A4 | Tornado (Well-Worn)
P250 | Mehndi (Minimal Wear)
Autograph Capsule | Cloud9 | Cluj-Napoca 2015
Sticker | Counter Logic Gaming | Katowice 2015
Sticker | Vox Eminor | Cologne 2014
Sticker | Flipsid3 Tactics | Katowice 2015
Souvenir SSG 08 | Detour (Factory New)
★ Sport Gloves | Vice (Battle-Scarred)
MP9 | Latte Rush (Battle-Scarred)
StatTrak™ AK-47 | Inheritance (Field-Tested)
Souvenir Charm | Budapest 2025 Highlight | mezii Forest play
Souvenir Charm | Budapest 2025 Highlight | ZywOo P250 madness
Sticker Slab | ropz (Embroidered, Champion) | Budapest 2025
Souvenir Charm | Budapest 2025 Highlight | apEX vs The MongolZ on Dust II
Souvenir Charm | Budapest 2025 Highlight | Mzinho Long control
Souvenir Charm | Budapest 2025 Highlight | Jimpphat vs FaZe on Nuke
Sticker | bodyy | London 2018
★ Ursus Knife
Sticker | KRIMZ | Boston 2018
Sticker | OpTic Gaming | London 2018
Sticker | zehN | Boston 2018
Sticker | gob b | Boston 2018
Sticker | tabseN | London 2018
Sealed Graffiti | Sprout Esports | Boston 2018
Sticker | STYKO | Boston 2018
Sticker | Virtus.Pro | Boston 2018
Nova | Rust Coat (Battle-Scarred)
CZ75-Auto | Pole Position (Well-Worn)
★ Shadow Daggers | Autotronic (Minimal Wear)
★ Broken Fang Gloves | Needle Point (Battle-Scarred)
StatTrak™ AUG | Aristocrat (Factory New)
P2000 | Pathfinder (Minimal Wear)
StatTrak™ AK-47 | Cartel (Minimal Wear)
StatTrak™ UMP-45 | Primal Saber (Battle-Scarred)
StatTrak™ UMP-45 | Neo-Noir (Battle-Scarred)
★ Hand Wraps | Desert Shamagh (Well-Worn)
Sticker | w0nderful (Gold, Champion) | Copenhagen 2024
Sticker | Happy | Atlanta 2017
Sticker | apEX (Gold) | Shanghai 2024
Sticker | flamie | Cologne 2015
Sticker | fEAR (Gold) | Shanghai 2024
Sticker | nex | MLG Columbus 2016
Sticker | somebody (Gold) | Shanghai 2024
Sticker | Sonic (Gold) | Shanghai 2024
Sticker | f0rest | MLG Columbus 2016
Sticker | nicoodoz (Gold) | Austin 2025
P90 | Scorched (Minimal Wear)
Dual Berettas | Black Limba (Well-Worn)
P2000 | Grassland Leaves (Field-Tested)
Nova | Walnut (Well-Worn)
Galil AR | Shattered (Well-Worn)
Galil AR | Shattered (Battle-Scarred)
Glock-18 | Brass (Minimal Wear)
MAG-7 | Irradiated Alert (Battle-Scarred)
USP-S | Serum (Minimal Wear)
P90 | Scorched (Well-Worn)
StatTrak™ USP-S | Stainless (Battle-Scarred)
SSG 08 | Parallax (Minimal Wear)
★ Moto Gloves | Polygon (Minimal Wear)
M4A4 | The Coalition (Field-Tested)
M4A1-S | Nightmare (Factory New)
★ Talon Knife | Marble Fade (Factory New)
StatTrak™ Galil AR | Chromatic Aberration (Minimal Wear)
MP5-SD | Acid Wash (Field-Tested)
M249 | Humidor (Minimal Wear)
StatTrak™ M4A4 | In Living Color (Minimal Wear)
StatTrak™ P250 | See Ya Later (Minimal Wear)
StatTrak™ PP-Bizon | Blue Streak (Battle-Scarred)
MAC-10 | Curse (Factory New)
MP5-SD | Acid Wash (Factory New)
M4A1-S | Moss Quartz (Field-Tested)
★ Survival Knife | Case Hardened (Well-Worn)
CZ75-Auto | Framework (Well-Worn)
Galil AR | Aqua Terrace (Field-Tested)
P250 | Epicenter (Well-Worn)
Souvenir M4A4 | Tornado (Well-Worn)
StatTrak™ UMP-45 | Plastique (Factory New)
StatTrak™ Five-SeveN | Capillary (Well-Worn)
StatTrak™ M249 | Aztec (Well-Worn)
Souvenir AWP | Black Nile (Battle-Scarred)
StatTrak™ AK-47 | Point Disarray (Minimal Wear)
Souvenir P250 | Boreal Forest (Field-Tested)
StatTrak™ Tec-9 | Re-Entry (Well-Worn)
StatTrak™ M4A4 | Desert-Strike (Field-Tested)
★ Survival Knife | Safari Mesh (Minimal Wear)
P2000 | Red FragCam (Factory New)
Negev | Bratatat (Field-Tested)
CZ75-Auto | Slalom (Well-Worn)
StatTrak™ MP5-SD | Condition Zero (Field-Tested)
Souvenir Tec-9 | Whiteout (Well-Worn)
AK-47 | The Oligarch (Factory New)
★ Paracord Knife | Crimson Web (Field-Tested)
★ Shadow Daggers | Damascus Steel (Factory New)
FAMAS | Macabre (Battle-Scarred)
StatTrak™ MP7 | Bloodsport (Factory New)
M4A1-S | Icarus Fell (Factory New)
StatTrak™ MAG-7 | BI83 Spectrum (Factory New)
Sticker | Ax1Le (Holo) | Antwerp 2022
Sealed Graffiti | Smarmy (Battle Green)
StatTrak™ Galil AR | Vandal (Factory New)
Sticker | Rock, Paper, Scissors (Foil)
Sealed Graffiti | Recoil MAC-10 (Tracer Yellow)
Sealed Graffiti | Broken Heart (Brick Red)
Sticker | buster (Gold) | Stockholm 2021
Sticker | Ace Devil (Foil)
Sticker | Poorly Drawn SAS (Holo)
★ Classic Knife
Sticker | ottoNd (Foil) | Berlin 2019
Sticker | KSCERATO (Foil) | Katowice 2019
Sticker | DickStacy (Foil) | Katowice 2019
Sticker | G2 Esports (Foil) | Katowice 2019
Sticker | AZR (Gold) | Berlin 2019
Sealed Graffiti | Smirk (Jungle Green)
Sticker | Hot Wings (Holo)
Sealed Graffiti | Smooch (Princess Pink)
Patch | Copper Lambda
StatTrak™ Glock-18 | Grinder (Field-Tested)
MP9 | Music Box (Field-Tested)
StatTrak™ MP7 | Special Delivery (Minimal Wear)
★ Moto Gloves | Smoke Out (Minimal Wear)
StatTrak™ Negev | Terrain (Well-Worn)
StatTrak™ MAG-7 | SWAG-7 (Factory New)
★ Survival Knife | Boreal Forest (Minimal Wear)
StatTrak™ P250 | Muertos (Field-Tested)
★ Moto Gloves | Transport (Minimal Wear)
★ Survival Knife | Slaughter (Factory New)
SG 553 | Barricade (Well-Worn)
P250 | Red Rock (Well-Worn)
CZ75-Auto | Nitro (Field-Tested)
Souvenir AUG | Random Access (Minimal Wear)
Sawed-Off | Jungle Thicket (Well-Worn)
MAG-7 | Firestarter (Well-Worn)
StatTrak™ G3SG1 | Digital Mesh (Well-Worn)
Tec-9 | Orange Murano (Battle-Scarred)
Souvenir MP5-SD | Co-Processor (Well-Worn)
Souvenir SSG 08 | Detour (Well-Worn)
★ Ursus Knife | Ultraviolet (Field-Tested)
★ Huntsman Knife | Night (Field-Tested)
StatTrak™ AWP | Chrome Cannon (Minimal Wear)
★ Navaja Knife | Stained (Field-Tested)
★ Moto Gloves | Blood Pressure (Minimal Wear)
Tec-9 | Decimator (Battle-Scarred)
StatTrak™ P250 | See Ya Later (Field-Tested)
★ Moto Gloves | Turtle (Battle-Scarred)
★ Flip Knife | Tiger Tooth (Factory New)
★ Sport Gloves | Nocts (Field-Tested)
M4A4 | The Emperor (Well-Worn)
StatTrak™ FAMAS | Mecha Industries (Minimal Wear)
Glock-18 | Reactor (Battle-Scarred)
Souvenir AK-47 | Green Laminate (Minimal Wear)
Souvenir Nova | Green Apple (Field-Tested)
Souvenir Dual Berettas | Sweet Little Angels (Minimal Wear)
MAC-10 | Stalker (Minimal Wear)
AUG | Stymphalian (Battle-Scarred)
StatTrak™ M4A4 | Evil Daimyo (Well-Worn)
MP5-SD | Acid Wash (Minimal Wear)
SCAR-20 | Torn (Field-Tested)
★ Navaja Knife | Stained (Minimal Wear)
StatTrak™ Nova | Clear Polymer (Well-Worn)
AUG | Spalted Wood (Battle-Scarred)
StatTrak™ FAMAS | Bad Trip (Battle-Scarred)
StatTrak™ MP5-SD | Phosphor (Battle-Scarred)
StatTrak™ PP-Bizon | Fuel Rod (Battle-Scarred)
StatTrak™ Sawed-Off | Wasteland Princess (Battle-Scarred)
P90 | Cocoa Rampage (Well-Worn)
Galil AR | Urban Rubble (Battle-Scarred)
Krakow 2017 Inferno Souvenir Package
Sticker | rain (Foil) | Krakow 2017
Sticker | markeloff | Boston 2018
Sticker | FaZe Clan (Holo) | Boston 2018
Sticker | AZR | Boston 2018
Sticker | FaZe Clan (Foil) | Krakow 2017
Sticker | chrisJ | Krakow 2017
Sticker | pashaBiceps (Foil) | Krakow 2017
Sticker | Gambit (Foil) | Krakow 2017
Sealed Graffiti | Space Soldiers | Boston 2018
FAMAS | Macabre (Well-Worn)
MP5-SD | Bamboo Garden (Well-Worn)
StatTrak™ Sawed-Off | Wasteland Princess (Minimal Wear)
MP7 | Guerrilla (Factory New)
StatTrak™ MP7 | Urban Hazard (Battle-Scarred)
M249 | Humidor (Field-Tested)
StatTrak™ UMP-45 | Scaffold (Battle-Scarred)
PP-Bizon | Blue Streak (Factory New)
Souvenir MP9 | Setting Sun (Battle-Scarred)
G3SG1 | Black Sand (Well-Worn)
Sticker Slab | paiN Gaming | Budapest 2025
Sticker | latto (Gold) | Budapest 2025
Sticker Slab | TYLOO (Embroidered) | Budapest 2025
Sticker Slab | Natus Vincere (Holo) | Budapest 2025
Sticker Slab | FURIA | Austin 2025
Sticker Slab | Hot Rod Heat
Sticker Slab | Natus Vincere (Glitter) | Paris 2023
Sticker | sk0R (Gold) | Budapest 2025
Sticker Slab | T Tracks (Glitter)
Sticker Slab | kyousuke (Embroidered) | Budapest 2025
Sticker | gla1ve | Atlanta 2017
Sticker | RpK | Cluj-Napoca 2015
Sticker | shroud | Cologne 2015
Sticker | n0thing | Cologne 2015
Sticker | denis | MLG Columbus 2016
Sticker | Xyp9x | MLG Columbus 2016
Sticker | jdm64 | Cluj-Napoca 2015
Sticker | aizy | Cologne 2016
Sticker | pashaBiceps | Cologne 2016
Sticker | TaZ | Atlanta 2017
Souvenir USP-S | Royal Blue (Minimal Wear)
MAC-10 | Surfwood (Well-Worn)
MAC-10 | Last Dive (Well-Worn)
StatTrak™ MAC-10 | Malachite (Minimal Wear)
Souvenir Sawed-Off | Amber Fade (Minimal Wear)
StatTrak™ MAC-10 | Aloha (Minimal Wear)
Souvenir XM1014 | Blue Spruce (Field-Tested)
Tec-9 | Rust Leaf (Battle-Scarred)
StatTrak™ UMP-45 | Metal Flowers (Field-Tested)
Five-SeveN | Angry Mob (Battle-Scarred)
Desert Eagle | Heirloom (Factory New)
MP7 | Gunsmoke (Minimal Wear)
Galil AR | Aqua Terrace (Minimal Wear)
StatTrak™ MP7 | Impire (Minimal Wear)
StatTrak™ AUG | Stymphalian (Battle-Scarred)
P250 | Muertos (Battle-Scarred)
Souvenir MAC-10 | Candy Apple (Field-Tested)
★ Bowie Knife | Ultraviolet (Minimal Wear)
★ Huntsman Knife | Autotronic (Battle-Scarred)
M4A4 | Polysoup (Well-Worn)
★ Bayonet | Autotronic (Field-Tested)
★ Paracord Knife | Stained (Field-Tested)
Souvenir FAMAS | Styx (Field-Tested)
Souvenir Charm | Budapest 2025 Highlight | KSCERATO vs Natus Vincere on Mirage
Souvenir Charm | Budapest 2025 Highlight | zweih vs Falcons on Nuke
Souvenir Charm | Budapest 2025 Highlight | sh1ro B-site carnage
Souvenir Charm | Budapest 2025 Highlight | TeSeS vs Spirit on Nuke
Souvenir Charm | Budapest 2025 Highlight | NiKo vs Spirit on Nuke
Souvenir Charm | Budapest 2025 Highlight | ZywOo triple finish
Souvenir Charm | Budapest 2025 Highlight | apEX vs FaZe on Nuke
StatTrak™ AWP | Redline (Minimal Wear)
StatTrak™ MP5-SD | Gauss (Battle-Scarred)
StatTrak™ AK-47 | Point Disarray (Field-Tested)
StatTrak™ Desert Eagle | Mecha Industries (Well-Worn)
StatTrak™ AWP | Printstream (Well-Worn)
★ Falchion Knife | Urban Masked (Field-Tested)
★ Bowie Knife | Scorched (Field-Tested)
★ StatTrak™ Huntsman Knife | Tiger Tooth (Factory New)
★ Skeleton Knife | Urban Masked (Field-Tested)
CZ75-Auto | Hexane (Well-Worn)
★ Paracord Knife | Night Stripe (Minimal Wear)
★ StatTrak™ Ursus Knife | Marble Fade (Factory New)
XM1014 | Tranquility (Well-Worn)
AUG | Momentum (Factory New)
StatTrak™ M249 | Aztec (Factory New)
StatTrak™ MP7 | Powercore (Well-Worn)
Souvenir XM1014 | Ancient Lore (Well-Worn)
P2000 | Chainmail (Minimal Wear)
Souvenir SG 553 | Damascus Steel (Field-Tested)
P2000 | Woodsman (Factory New)
Five-SeveN | Hyper Beast (Well-Worn)
M4A4 | Buzz Kill (Well-Worn)
★ Paracord Knife | Scorched (Minimal Wear)
StatTrak™ UMP-45 | Primal Saber (Factory New)
StatTrak™ AWP | Elite Build (Battle-Scarred)
FAMAS | Eye of Athena (Well-Worn)
StatTrak™ FAMAS | Macabre (Factory New)
Dual Berettas | Cobra Strike (Factory New)
Tec-9 | Hades (Battle-Scarred)
★ Bayonet | Bright Water (Factory New)
Sticker Slab | Lambda
Sticker Slab | CS20 Classic (Holo)
